,track_name,artist,lyrics
10,Barely Friends - No Regular Play Remix,DRAMA,
11,Ikopol,Dauwd,
12,Feel It (feat. Theophilus London),Octavian,"

[Chorus: Octavian]
You must be out of your mind, must be out of your mind
Out of your mind, out of your mind
Are you dumb? Are you out your mind?
You must be out of your mind
Out of your mind, out of your mind

[Verse 1: Octavian]
Roll through the city, you're rolling with me
You’re like, ""Shit, man, this car go fast"" (Skrrt skrrt)
Leave the lights lows, black windows, you can't see us
Tell 'em you belong in the dark, you’re a star (Hey)

[Verse 2: Theophilus London]
I know they wish that they ride like me
And your fake friend told you not to rock with me
I think they mad 'cause they not like me
Won't you tell 'em, baby girl? (Ain't no stopping me)
You know Young T skank up her tongue ring
Grip up her backside, back up her bum-bum
Yeah, grip her pompom, get the Ciroc, oh
This a ting lock, bro, yeah, T and Octo

[Pre-Chorus: Octavian]
If you feel it, feel it, feel it, feel it
Feel it, feel it
If you feel it, feel it, feel it, feel it
Feel it, feel it

[Chorus: Octavian]
You must be out of your mind, you must be out of your mind
Oh, out of your mind, out of your mind
Are you dumb? Are you out your mind?
You must be out of your mind
Out of your mind, out of your mind

[Post-Chorus: Octavian]
You got that big ass on the dance floor
Just you give me that up, just you give me some more
What is it that you ask for?
Just give me that love, just give me some more

[Pre-Chorus: Octavian]
If you feel it, feel it, feel it, feel it
Feel it, feel it
If you feel it, feel it, feel it, feel it
Feel it, feel it

[Chorus: Octavian]
You must be out of your mind, you must be out of your mind
Oh, out of your mind, out of your mind
Are you dumb? Are you out your mind?
You must be out of your mind
Out of your mind, out of your mind

[Post-Chorus: Octavian]
You got that big ass on the dance floor
Just you give me that up, just you give me some more
What is it that you ask for?
Just give me that love, just give me some more

[Outro: Octavian]
You got that big ass on the dance floor
What is it that you ask for?
Just give me that love, just give me some more

"
13,Loose Ends,Loyle Carner,"

[Chorus: Jorja Smith & Loyle Carner]
In love, when the going is tough
I wait 'til it falls on deaf ears
Hearsay, without the boundaries of love
My take is, I wish there was a better way
Uh, I got a lot of love, a lot of loose ends (Way)
A lot of people that I wish I knew then (Way)
Friends beckon every second you spend (Way)
I'm wettin' the pen, every letter you send
Uh, I got a lot of love, a lot of loose ends (Way)
A lot of people that I wish I knew then (Way)
Friends beckon every second you spend (Way)
I'm wettin' the pen, every letter you send

[Verse 1: Loyle Carner]
Yo, I been listening to Dreamy Days, I'm in disarray
I realise it's everybody else who's still astray
I feel ashamed, I know there ain't no savin' away
They went astray, I went Australia
So what I'm supposed to say to 'em?
Uh, when all this love's out of range
Everything around me changed, I'm supposed to stay the same
Turn down these free drinks I couldn't even name
And I like all this money, 'cause I'm fuckin' up my brain
I been goin' insane, shelf full of family remains
Brokenhearted is seein' none of them again
I, I pour the glass, stick my head out in the rain
Try and find another person I can blame
Sat upon this plane, uh
And yo, I'm prayin' that we don't crash
'Cause every night, I shiver at the sight when we go back
'Cause every night could be my last, and yeah, I know that
So I crack a smile 'fore it goes black, trust

[Chorus: Jorja Smith & Loyle Carner]
In love, when the going is tough
I wait 'til it falls on deaf ears
Hearsay, without the boundaries of love
My take is, I wish there was a better way
Uh, I got a lot of love, a lot of loose ends (Way)
A lot of people that I wish I knew then (Way)
Friends beckon every second you spend (Way)
I'm wettin' the pen, every letter you send
Uh, I got a lot of love, a lot of loose ends (Way)
A lot of people that I wish I knew then (Way)
Friends beckon every second you spend (Way)
I'm wettin' the pen, every letter you send

[Verse 2: Loyle Carne]
Trust, uh, I wish you'd been there when my dad had died
Uh, I wish you'd been there when my mother cried
I, I wish you'd been there in the drag of night
To see my side, look me in my eyes when I was paralysed
And tell me everything's alright and push it to the side
It's just a sacrifice, at times, I told a bag of lies
But not a pack of lies, we always told a couple ones
Of course it was true, you only knew me from the dramatise
I feel an agonising risk, 'cause in a thousand islands
This is where I really wanna be when we were cracking wise
'Cause it was black and white, literally black and white
White from my mother and my father was the blackest skies
Skies, I, I can see it's true
I, I see my mother up in you
Shit, I think my dad'd see it too
Yo, I just wish he knew, uh

[Chorus: Jorja Smith & Loyle Carner]
In love, when the going is tough
I wait 'til it falls on deaf ears
Hearsay, without the boundaries of love
My take is, I wish there was a better way
Uh, I got a lot of love, a lot of loose ends (Way)
A lot of people that I wish I knew then (Way)
Friends beckon every second you spend (Way)
I'm wettin' the pen, every letter you send
Uh, I got a lot of love, a lot of loose ends (Way)
A lot of people that I wish I knew then (Way)
Friends beckon every second you spend (Way)
I'm wettin' the pen, every letter you send

[Verse 3: Loyle Carne]
Uh, imagine all the friends you see most
Each one you peggin' away
Is dependin' on you puttin' pen to the page, uh
And so, you break it down, checking they're paid
Another day you're heartbreakin', you resented the stage
You feel that same rage
Watch the crowd, watch the stage thinkin', ""Shit""
Rather in the crowd with your mates drinkin'
Misbehaviours, catch another dame winkin'
You feel ashamed, guzzle Jagers, your brain's sinkin'
You think it's deep, don't think it's depression
A misspent adolescence
But all this time, all this time, time's of the essence
You would never learn from your lessons
You're stuck in that same quintessence
Heartbreak, one in the same
Days change, but you're stuck in the game
It's like, she's tellin' you you're young enough to be at uni
Somehow, the one who sees through me

"
14,Options,NSG,"[Intro: Mxjib]I make money onlineI make money on timeI make money onlineAll my niggas got me makin' money onlineI make money on timeShawty wanna fuck but I give her no time (JAE5)[Chorus: OGD]Want to make a mil', 9-5 weren't an optionIn the field you kinda run outta optionsShe always complain like she nah see me oftenBut often I be OT tourin'Gyal don't worry I'll be yard in the mornin'Used to move like there's nothin' to loseMixed the Off-White with the HuesRollin' with like 10 of the goons[Verse 1: Kruddz]Money callin', money talkin'Trap phone goin' ring ringTrap phone buy me bling-bling, yeahWhere was you way back then?I was doing stick up with my bad friendsPolice had us twist up pon the landin'Every other time mix up in violence"
15,Yet,MANÜKA,
16,Storm,Dahlia Sleeps,[Verse 1]You raised a storm within meAnd I can feel it when we sleepYour body's strong and your thoughts are far from meBut I still hold you when you sleep[Pre-Chorus]I know you’re not open unless it's a futile thingYou said you wrote us into poetry[Chorus]Don't be defeatedJust fall into the deep with meTell me you can feel itBaby would you let me dream?It’s not fairThe way you'll always win with meKnow I'm not your only worldWanna be the one you keep[Verse 2]You only call when the night can cover usYou only come around here to dreamAnd I've been feeling things that I can't cover upJust tell me it's not as it seems
17,"You, World, or Myself",Stwo,"[Verse 1]You're yelling at my face after all these drugsYou tell me that I change around all these thugsMovin like you TLC, seein that I’m just a scrubNever thought that me and you would fall out of love (Ahh)You said you was always gon' have my back (Yeah)Thief in the midnight, you gon' stab me in my backI’m the fool 'cause 3 times I fell for that (Ahh)[Pre-Hook]Yeah, yeah, yeah, yeahYeah, yeah, yeah, yeah (Wow)Yeah, yeah, yeah, yeah (Wow)Yeah, yeah, yeah, yeah (Ahh)Yeah, yeah, yeah, yeah (Wow)Yeah, yeah, yeah, yeah (Wow)Yeah, yeah, yeah, yeah (Crazy)(Wow, crazy, crazy)[Hook 1]Is it you, the world or myself that's driving me crazy? (Crazy, crazy)Is it you, the world or myself that's driving me crazy? (Crazy, crazy)Is it you, the world or myself that's driving me crazy? (Crazy, crazy)[Verse 2]I'm so high I don't know what else to doWhy tell lies when I only want the truth?You switchin' side when you on the other side nowLet me derive, what you said you want to drive nowI was in the wrong I know thatDon’t tell me that I’m fucked up, baby 'cause I know thatYou love your demons, you know I know thatWake up from my wrongs, cause I know I order ya (Ahh)"
18,Last Letter To Cadet,Krept & Konan,
19,Thinkin Bout You,Hush Hush,
20,Love Shy - Subjoi's Tuff Jam Rework,Subjoi,
21,Ya Just Need 2 Believe in Yaself,Folamour,
22,Warm,SG Lewis,"[Verse 1]I'm a little shy, but I know you knowI haven't done this too much, cause I did not know[Pre-Chorus]I'm feeling this devotion, touching your emotionI can see the love run right out of youMoments like these are golden, never felt so openEven if I'm dreaming, I'm dreaming with you[Chorus]So breathe my air, and kiss me thereCause I'm a little cold but I'll warm up with youHeart out my chest when you put it thereYeah I’m a little cold but I've warmed up with youOoo, ooo, I...Ooo, ooo, I...Ooo, ooo, I...Ooo, ooo, I...[Verse 2]I don't care too much for valentinesI just need your skin next to mine[Pre-Chorus]I'm feeling this devotion, touching your emotionI can see the love run right out of youMoments like these are golden, never felt so openEven if I'm dreaming, I'm dreaming with you"
23,Coconuts,Frankie Stew and Harvey Gunn,
24,Flashing Lights,Subjoi,
25,Red Red Wine,UB40,"

[Hook:]
Red, red wine goes to my head
Makes me forget that I
Still need her so
Red, red wine
It's up to you
All I can do, I've done
Memories won't go
Memories won't go
Red, red wine goes to my head
Makes me forget that I
Still need her so
Red, red wine
It's up to you
All I can do, I've done
Memories won't go
Memories won't go

[Bridge]
I just thought, that with time
Thoughts of you would leave my head
I was wrong, now I find
Just one thing makes me forget

[Hook:]
Red, red wine
Stay close to me
Don't let me be in love
It's tearing apart
My blue, blue heart

[Bridge]
I just thought, that with time
Thoughts of you would leave my head
I was wrong, now I find
Just one thing makes me forget

[Hook:]
Red, red wine
Stay close to me
Don't let me be in love
It's tearing apart
My blue, blue heart

[Astro:]
Red red wine, you make me feel so fine
You keep me rockin' all of the time
Red red wine, you make me feel so grand
I feel a million dollar when you're just in my hand

Red red wine, you make me feel so sad
Any time I see you go, it make me feel bad
Red red wine, you make me feel so fine
Monkey pack him Rizla pon the sweet Dep line

(Red red wine)
Red red wine, you give me whole heap of zing
Whole heap of zing, you make me do my own thing
(It's up to you)
Red red wine, you really know how fi love
Your kind of lovin' like a blessing from above

Red red wine, I loved you right from the start
Right from the start with all of my heart
Red red wine in an eighties style
Red red wine in a modern beat style, yeah

(I'd have sworn)
Give me a little time, help me clear up my mind
(That with time)
Give me a little time, help me clear up my mind
(Thoughts of you would leave my head)
Give me red wine, the kind make me feel fine
You make me feel fine all of the time

Red red wine, you make me feel so fine
Monkey pack him Rizla pon the sweet Dep line
The line broke, the monkey get choked
Burn bad ganja pon his little rowing boat

(Red red wine)
Red red wine, I'm gonna hold on to you
Hold on to you cause I know your love true
(Stay close to me)
Red red wine, I'm gonna love you till I die
Love you till I die, and that's no lie

(Don't let me be alone)
Red red wine, can't get you off my mind
Wherever you may be, I'll surely find
(It's tearin' apart)
I'll surely find, make no fuss
(My blue, blue heart)
Just stick with us

(I'd have sworn)
Give me a little time, help me clear up my mind
(That with time)
Give me a little time, help me clear up my mind
(Thoughts of you would leave my head)
Give me red wine, the kind make me feel fine
You make me feel fine all of the time

Red red wine, you make me feel so fine
Monkey pack him Rizla pon the sweet Dep line
The line broke, the monkey get choked
Burn bad ganja pon his little rowing boat

(Red red wine)
Red red wine, you really know how fi love
Your kind of lovin' like a blessing from above
(Stay close to me)
Red red wine, I loved you right from the start
Right from the start with all of my heart

(Don't let me be alone)
Red red wine, you give me whole heap of zing
Whole heap of zing, you make me do my own thing
Red red wine in an eighties style
Red red wine in a modern beat style, yeah

Red red wine, you make me feel so fine
You keep me rockin' all of the time
(Red red wine)
Red red wine, you make me feel so grand
I feel a million dollar when you're just in my hand
(Stay close to me)

Red red wine, you make me feel so sad
Any time I see you go, it make me feel bad
(Don't let me be alone)
Red red wine, you make me feel so fine
Monkey pack him Rizla pon the sweet Dep line

"
26,Blue Lights,Jorja Smith,"[Intro]I wanna turn those blue lights into strobe lightsNot blue flashing lights, maybe fairy lightsThose blue lights into strobe lightsMaybe even fairy lights, not blue flashing lights[Verse 1]Don't you run when you hear the sirens comingWhen you hear the sirens comingYou better not run 'cause the sirens not coming for youWhat have you done?You went to school that dayWas a bit late but it was a MondayKept after class for answering backYou apologized, ain't no harm in that[Chorus]I wanna turn those blue lightsWhat have you doneInto strobe lightsThere's no need to runNot blue flashing lightsIf you've done nothing wrongMaybe fairy lightsBlue lights should just pass you by"
27,Insecure (feat. Brent Faiyaz & Atu),Stwo,"[Verse 1]She said, You can't know what I've doneYou can't go where I'm fromYour lips can lieBut your eyes can't hide, you were too youngYou're too young[Pre-Chorus]How I adore, our love would be so trueI just wish you knewI'd be all yours if my mind didn't wanderI've got scars from a life before you[Chorus]Please don't think I'm insecureI just can't trust no one elsePlease don't think I'm insecureI just feel safe by myself[Verse 2]She said, you can't know where I've goneOr how far I've runThere's a reason why I can't apply all of meBaby I ain't the one[Pre-Chorus]How I adore, our love would be so trueI just wish you knewI'd be all yours if my mind didn't wanderI've got scars from a life before you"
28,Pat Earrings,CASISDEAD,"[Chorus: Aruba Jasmine]I know you want it, come and get it, I'ma give it to yaI know you want it, come and get it, I'ma give it to yaI know you want it, come and get itI'ma give it to yaI know you want it, come and get it, I'ma give it to yaI know you want it, come and get it, I'ma give it to yaI know you want it, come and get itI'ma give it to ya[Verse 1: CASisDead]Yeah, I took a little break from trafficking freight3 Litre CSL on a late plateIn Bape, got Bowie banging in the tapeBig brick Nokia and man playing SnakeI see that yellow bone, she got mad yellow cakeSays she's available today for a dateMissed call tennisNow I'm getting jealousMaybe I was overzealousSee, I tend to oversell itBut when I first saw her, it was end creditsGot the text, dipped on the fellasStraight to her premises, it's always the premiseSatisfaction guaranteed, that's a promiseShe's not one for chat, I'm just being honestAnd maybe I want more than just right nowLaying that pipe down, neighbours saying pipe downI turn up and turn the lights downMoney on the nightstand, making all the right soundsUse a glove when we're getting offCosts too much to take it offI love her too much to pay in duds"
29,There's A Hole In My Heart,Ross from Friends,
30,Colorado,Kota the Friend,"

[Intro]
Ugh!

[Verse 1]
Bill collector knocking at the door (Door, door, door)
Baby momma yelling in my ear (Ear, ear, ear)
Honestly a lot is going on (On, on, on)
Only thing is I don't really care (Care, care, care)
People wonder how I keep a smile (Keep a smile)
Tell 'em it's 'cause I don't give a fuck (Give a fuck)
I been in my slippers for a while (For a while)
Even all my haters show me love, yeah
I just wish 'em well though
Hope you gettin' money, hope you doin' well bro
Heard your sister love me, I'm in Colorado
Do not fuckin' at me
I been on vacation 'cause I need it badly
Hotel California my escape
P-P-Pulling in up in Mexico with New York city plates, ayy
Neighbors want a photo when I visit where I stay, ayy
If you talking drama get the fuck up out my face, ayy

[Pre-Chorus]
Dodging bad vibes like skrt (Skrt)
Drama on my line like skrt (Skrt)
Left it in the past like skrt (Skrt)
Getting to the bag like skrt (Skrt)

[Chorus]
Skrt, skrt, skrt
Skrt, skrt, skr-skr
Skrt, skrt, skrt
Skrt, skrt, skrt
Skrt, skrt, skrt

[Verse 2]
People really think my life is perfect (Perfect)
Maybe 'cause I'm laughing through the worst shit (Worst shit)
Yeah I know the Devil is alive but (Alive but)
The way that I been moving got 'em nervous (Nervous)
Mac I hope you know you did your thing (Thing)
Get your rest 'cause homie you deserve it (Deserve it)
Ocean always deeper than it seem (Seem)
And people only looking at the surface (Surface)
P-Paparazzi caught me hopping out my bag, ayy
Hopping in the uber on my way to get the bag, ayy
Used to drink a bottle every day 'cause I was sad, ayy
I hit up my dad like I hope that we could patch things
Woman could not put me in my feelings, nigga fuck that
If she do not want the realest nigga, then she dumb wack
I don't ever trip but I bet that you would love that
I don't ever trip but I bet that you would love that

[Pre-Chorus]
Dodging bad vibes like skrt
Drama on my line like skrt
Left it in the past like skrt
Getting to the bag like skrt

[Chorus]
Skrt skrt skrt
Skrt skrt skr-skr
Skrt skrt skrt
Skrt skrt skrt
Skrt skrt skrt

"
31,You and Me,Shallou,"

[Verse 1]
Shadows faded black
Lovers losing track
Bashful
We always hide our cracks
Youthful
'Cause we never turned our backs

[Chorus]
It's just you and me (Wish that I could take more, take more)
Wish that I could say more, say more
Just you and me (Wish that I could take more, take more)
Wish that I could take more, take more time with-

Just you and me, bashful lovers
Just you and me, we take it slow
Just you and me, falling backwards
Just you and me, sink so low

Just you and me, bashful lovers
Just you and me, we take it slow
Just you and me, falling backwards
Just you and me, sink so low
Just you and-

[Verse 2]
Lingers hold us tight
Whisper, please take this right
'Cause we're bashful
We'll forever burn inside
Trust that, this is not goodbye

[Chorus]
It's just you and me (Wish that I could take more, take more)
Wish that I could say more, say more
Just you and me (Wish that I could take more, take more)
Wish that I could take more, take more time with-

Just you and me, bashful lovers
Just you and me, we take it slow
Just you and me, falling backwards
Just you and me, sink so low

Just you and me, bashful lovers
Just you and me, we take it slow
Just you and me, falling backwards
Just you and me, sink so low
Just you and me

Wish that I could take more, take more
Wish that I could take more, take more

[Outro]
Just you and me (Wish that I could take more, take more)
Wish that I could say more, say more
Just you and me (Wish that I could take more, take more)
Wish that I could take more, take more
Wish that I could take more, take more
Wish that I could take more time with you

"
32,bless.u,paleboi,
